date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:21:00	27430/27430	---M--	200	added ('OK')	image/jpeg	date:Mon,%2007%20Oct%202019%2014:45:38%20GMT	http://omexer.com/tm/mixito/demo/assets/images/product-1.jpg	omexer.com/tm/mixito/demo/assets/images/product-1.jpg	(from http://omexer.com/tm/mixito/demo/index.html)
16:21:01	47319/47319	---M--	200	added ('OK')	image/jpeg	date:Wed,%2016%20Oct%202019%2010:32:28%20GMT	http://omexer.com/tm/mixito/demo/assets/images/watch-img-4.jpg	omexer.com/tm/mixito/demo/assets/images/watch-img-4.jpg	(from http://omexer.com/tm/mixito/demo/index.html)
16:21:04	27637/27637	---M--	200	added ('OK')	image/jpeg	date:Mon,%2007%20Oct%202019%2014:45:10%20GMT	http://omexer.com/tm/mixito/demo/assets/images/product-2.jpg	omexer.com/tm/mixito/demo/assets/images/product-2.jpg	(from http://omexer.com/tm/mixito/demo/index.html)
16:21:06	26218/26218	---M--	200	added ('OK')	image/jpeg	date:Mon,%2007%20Oct%202019%2014:47:14%20GMT	http://omexer.com/tm/mixito/demo/assets/images/product-3.jpg	omexer.com/tm/mixito/demo/assets/images/product-3.jpg	(from http://omexer.com/tm/mixito/demo/index.html)
16:21:07	27224/27224	---M--	200	added ('OK')	image/jpeg	date:Mon,%2007%20Oct%202019%2014:48:18%20GMT	http://omexer.com/tm/mixito/demo/assets/images/product-4.jpg	omexer.com/tm/mixito/demo/assets/images/product-4.jpg	(from http://omexer.com/tm/mixito/demo/index.html)
16:21:10	10965/10965	---M--	200	added ('OK')	image/jpeg	date:Tue,%2006%20Aug%202019%2015:37:12%20GMT	http://omexer.com/tm/mixito/demo/assets/images/client-1.jpg	omexer.com/tm/mixito/demo/assets/images/client-1.jpg	(from http://omexer.com/tm/mixito/demo/index.html)
16:21:11	150060/150060	---M--	200	added ('OK')	image/png	date:Fri,%2023%20Aug%202019%2022:21:48%20GMT	http://omexer.com/tm/mixito/demo/assets/images/watch-1.png	omexer.com/tm/mixito/demo/assets/images/watch-1.png	(from http://omexer.com/tm/mixito/demo/index.html)
16:21:11	7323/7323	---M--	200	added ('OK')	image/jpeg	date:Tue,%2006%20Aug%202019%2015:53:30%20GMT	http://omexer.com/tm/mixito/demo/assets/images/client-2.jpg	omexer.com/tm/mixito/demo/assets/images/client-2.jpg	(from http://omexer.com/tm/mixito/demo/index.html)
16:21:11	33990/33990	---M--	200	added ('OK')	image/jpeg	date:Wed,%2016%20Oct%202019%2018:29:42%20GMT	http://omexer.com/tm/mixito/demo/assets/images/watch-img-3.jpg	omexer.com/tm/mixito/demo/assets/images/watch-img-3.jpg	(from http://omexer.com/tm/mixito/demo/index.html)
16:21:11	11486/11486	---M--	200	added ('OK')	image/jpeg	date:Tue,%2006%20Aug%202019%2015:37:38%20GMT	http://omexer.com/tm/mixito/demo/assets/images/client-3.jpg	omexer.com/tm/mixito/demo/assets/images/client-3.jpg	(from http://omexer.com/tm/mixito/demo/index.html)
16:21:15	20337/20337	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2002%20Sep%202018%2009:01:00%20GMT	http://omexer.com/tm/mixito/demo/assets/js/popper.min.js	omexer.com/tm/mixito/demo/assets/js/popper.min.js	(from http://omexer.com/tm/mixito/demo/index.html)
16:21:15	86927/86927	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2021%20May%202018%2009:03:36%20GMT	http://omexer.com/tm/mixito/demo/assets/js/jquery-3.3.1.min.js	omexer.com/tm/mixito/demo/assets/js/jquery-3.3.1.min.js	(from http://omexer.com/tm/mixito/demo/index.html)
16:21:15	55775/55775	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2021%20Dec%202018%2004:47:12%20GMT	http://omexer.com/tm/mixito/demo/assets/js/bootstrap.min.js	omexer.com/tm/mixito/demo/assets/js/bootstrap.min.js	(from http://omexer.com/tm/mixito/demo/index.html)
16:21:17	20216/20216	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2021%20May%202018%2009:11:00%20GMT	http://omexer.com/tm/mixito/demo/assets/js/magnific-popup.min.js	omexer.com/tm/mixito/demo/assets/js/magnific-popup.min.js	(from http://omexer.com/tm/mixito/demo/index.html)
16:21:17	42770/42770	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2018%20Feb%202019%2018:44:22%20GMT	http://omexer.com/tm/mixito/demo/assets/js/owl.carousel.min.js	omexer.com/tm/mixito/demo/assets/js/owl.carousel.min.js	(from http://omexer.com/tm/mixito/demo/index.html)
16:21:17	1418/1418	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2002%20Apr%202014%2006:08:54%20GMT	http://omexer.com/tm/mixito/demo/assets/js/scrollIt.min.js	omexer.com/tm/mixito/demo/assets/js/scrollIt.min.js	(from http://omexer.com/tm/mixito/demo/index.html)
16:21:18	1609/1609	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2006%20Aug%202018%2013:35:00%20GMT	http://omexer.com/tm/mixito/demo/assets/js/contact.js	omexer.com/tm/mixito/demo/assets/js/contact.js	(from http://omexer.com/tm/mixito/demo/index.html)
16:21:19	7729/7729	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2006%20Aug%202018%2010:54:12%20GMT	http://omexer.com/tm/mixito/demo/assets/js/validator.min.js	omexer.com/tm/mixito/demo/assets/js/validator.min.js	(from http://omexer.com/tm/mixito/demo/index.html)
16:21:20	3547/3547	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2016%20Oct%202019%2017:07:32%20GMT	http://omexer.com/tm/mixito/demo/assets/js/custom.js	omexer.com/tm/mixito/demo/assets/js/custom.js	(from http://omexer.com/tm/mixito/demo/index.html)
16:21:24	90032/90032	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2002%20Nov%202019%2020:21:23%20GMT	http://omexer.com/tm/mixito/demo/assets/css/owl.video.play.png	omexer.com/tm/mixito/demo/assets/css/owl.video.play.png	(from http://omexer.com/tm/mixito/demo/assets/css/owl.carousel.min.css)
16:21:33	28682/28682	---M--	200	added ('OK')	image/jpeg	date:Fri,%2023%20Aug%202019%2022:55:00%20GMT	http://omexer.com/tm/mixito/demo/assets/images/banner-2.jpg	omexer.com/tm/mixito/demo/assets/images/banner-2.jpg	(from http://omexer.com/tm/mixito/demo/assets/css/style.css)
16:21:40	76737/76737	---M--	200	added ('OK')	image/png	date:Fri,%2023%20Aug%202019%2022:04:30%20GMT	http://omexer.com/tm/mixito/demo/assets/images/banner-1.png	omexer.com/tm/mixito/demo/assets/images/banner-1.png	(from http://omexer.com/tm/mixito/demo/assets/css/style.css)
16:21:45	60548/60548	---M--	200	added ('OK')	image/png	date:Fri,%2023%20Aug%202019%2022:58:22%20GMT	http://omexer.com/tm/mixito/demo/assets/images/banner-3.png	omexer.com/tm/mixito/demo/assets/images/banner-3.png	(from http://omexer.com/tm/mixito/demo/assets/css/style.css)
16:21:58	96744/96744	---M--	200	added ('OK')	image/jpeg	date:Sun,%2013%20Oct%202019%2016:35:42%20GMT	http://omexer.com/tm/mixito/demo/assets/images/banner-4.jpg	omexer.com/tm/mixito/demo/assets/images/banner-4.jpg	(from http://omexer.com/tm/mixito/demo/assets/css/style.css)
16:22:17	148633/148633	---M--	200	added ('OK')	image/png	date:Sat,%2003%20Aug%202019%2002:23:18%20GMT	http://omexer.com/tm/mixito/demo/assets/images/map-bg.png	omexer.com/tm/mixito/demo/assets/images/map-bg.png	(from http://omexer.com/tm/mixito/demo/assets/css/style.css)
16:22:53	537868/537868	---M--	200	added ('OK')	font/woff2	date:Thu,%2009%20Aug%202018%2000:59:22%20GMT	http://omexer.com/tm/mixito/demo/assets/fonts/icofont.woff2	omexer.com/tm/mixito/demo/assets/fonts/icofont.woff2	(from http://omexer.com/tm/mixito/demo/assets/css/icofont.min.css)
16:23:03	645604/645604	---M--	200	added ('OK')	font/woff	date:Thu,%2009%20Aug%202018%2000:59:04%20GMT	http://omexer.com/tm/mixito/demo/assets/fonts/icofont.woff	omexer.com/tm/mixito/demo/assets/fonts/icofont.woff	(from http://omexer.com/tm/mixito/demo/assets/css/icofont.min.css)
16:23:11	63684/63684	---M--	200	added ('OK')	image/jpeg	date:Sun,%2013%20Oct%202019%2017:04:36%20GMT	http://omexer.com/tm/mixito/demo/assets/images/watch-img-2.jpg	omexer.com/tm/mixito/demo/assets/images/watch-img-2.jpg	(from http://omexer.com/tm/mixito/demo/assets/css/style.css)
16:23:21	180874/180874	---M--	200	added ('OK')	image/png	date:Tue,%2008%20Oct%202019%2016:39:14%20GMT	http://omexer.com/tm/mixito/demo/assets/images/testi-bg.png	omexer.com/tm/mixito/demo/assets/images/testi-bg.png	(from http://omexer.com/tm/mixito/demo/assets/css/style.css)
